"id","reconcile","code","name","user_type_id/id","chart_template_id:id"
"520219","False","520219","NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES ","account.data_account_type_expenses","l10n_ec"
"520220","False","520220","IMPUESTOS, CONTRIBUCIONES Y OTROS ","account.data_account_type_expenses","l10n_ec"
"52022101","False","52022101","PROPIEDADES, PLANTA Y EQUIPO ","account.data_account_type_depreciation","l10n_ec"
"52022102","False","52022102","PROPIEDADES DE INVERSIÓN ","account.data_account_type_depreciation","l10n_ec"
"52022201","False","52022201","INTANGIBLES ","account.data_account_type_expenses","l10n_ec"
"52022202","False","52022202","OTROS ACTIVOS ","account.data_account_type_expenses","l10n_ec"
"52022301","False","52022301","PROPIEDADES, PLANTA Y EQUIPO ","account.data_account_type_depreciation","l10n_ec"
"52022302","False","52022302","INVENTARIOS ","account.data_account_type_depreciation","l10n_ec"
"52022303","False","52022303","INSTRUMENTOS FINANCIEROS ","account.data_account_type_depreciation","l10n_ec"
"52022304","False","52022304","INTANGIBLES ","account.data_account_type_depreciation","l10n_ec"
"52022305","False","52022305","CUENTAS POR COBRAR ","account.data_account_type_depreciation","l10n_ec"
"52022306","False","52022306","OTROS ACTIVOS ","account.data_account_type_depreciation","l10n_ec"
"52022401","False","52022401","MANO DE OBRA ","account.data_account_type_expenses","l10n_ec"
"52022402","False","52022402","MATERIALES ","account.data_account_type_expenses","l10n_ec"
